target,n_models,top1_score,top1_model_order,top1_pdb_model_id,top1_identification,top1_fnat,top1_dockq,best_fnat,best_dockq,n_fnat03,n_dockq023,success_fnat03@1,success_fnat03@2,success_fnat03@5,success_fnat03@10,success_fnat03@20,success_fnat03@100,success_dockq023@1,success_dockq023@2,success_dockq023@5,success_dockq023@10,success_dockq023@20,success_dockq023@100
S-T125.2,190,1.757,98,2163,T125_S15.M08,0.5789,0.5644,0.9737,0.9569,170,175,1,1,1,1,1,1,1,1,1,1,1,1
S-T125.3,190,1.712,102,2145,T125_S16.M02,0.0,0.0501,0.2121,0.1928,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-T125.4,190,1.793,33,2076,T125_S04.M03,0.0,0.0188,0.0732,0.1819,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-T131.1,185,2.384,96,2280,T131_S20.M01,0.0,0.0319,0.549,0.6038,5,6,0,0,0,0,0,1,0,0,0,0,0,1
S-T132.1,189,2.065,187,2462,T132_S32.M08,0.0,0.0045,0.5079,0.5527,2,8,0,0,0,0,0,1,0,0,0,0,0,1
S-T133.1,200,3.069,132,2725,T133_S23.M02,0.0,0.0266,0.8491,0.7713,83,86,0,0,1,1,1,1,0,0,1,1,1,1
S-T136.1,160,2.563,50,338,T136_S10.M10,0.6946,0.6659,0.7226,0.6884,117,160,1,1,1,1,1,1,1,1,1,1,1,1
S-T136.2,160,1.338,109,397,T136_S21.M09,0.0588,0.3138,0.549,0.6272,57,157,0,0,1,1,1,1,1,1,1,1,1,1
S-T136.3,160,1.61,118,406,T136_S23.M08,0.0,0.0065,0.5778,0.6028,41,156,0,0,1,1,1,1,0,1,1,1,1,1
S-T138.1,153,2.817,41,1777,T138_S08.M05,0.0,0.0027,0.1132,0.0576,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-T138.2,170,2.821,45,1839,T138_S08.M05,0.209,0.0842,0.209,0.1027,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-T140.1,180,7.926,64,1794,T140_S10.M04,0.072,0.0607,0.804,0.7918,150,154,0,0,0,1,1,1,0,0,0,1,1,1
S-T141.1,179,2.706,44,1750,T141_S08.M05,0.0,0.0087,0.4779,0.4398,16,23,0,0,0,0,0,1,0,0,0,0,0,1
S-T142.1,166,2.969,117,1862,T142_S21.M01,0.0476,0.0515,0.8095,0.7577,43,45,0,0,0,0,1,1,0,0,0,0,1,1
S-T143.1,176,2.442,24,1811,T143_S06.M04,0.913,0.4886,0.9275,0.6513,109,115,1,1,1,1,1,1,1,1,1,1,1,1
S-T144.1,154,-1000000000.0,1,1701,T144_S02.M01,0.0163,0.0164,0.565,0.6231,119,122,0,0,0,1,1,1,0,0,0,1,1,1
S-T146.1,180,2.312,174,1912,T146_S35.M04,0.5758,0.2862,0.871,0.5811,44,51,1,1,1,1,1,1,1,1,1,1,1,1
S-T146.2,152,1.645,67,1807,T146_S15.M04,0.0,0.0136,0.2222,0.2189,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-T146.3,180,2.001,148,1890,T146_S25.M08,0.8222,0.5842,0.8222,0.5842,6,7,1,1,1,1,1,1,1,1,1,1,1,1
S-T151.1,160,-1000000000.0,1,279,T151_S05.M01,0.0,0.0005,0.9583,0.9077,91,93,0,0,0,1,1,1,0,0,0,1,1,1
S-T151.2,160,-1000000000.0,1,1153,T151_S05.M01,0.1111,0.0497,0.6905,0.3769,4,3,0,0,0,0,0,1,0,0,0,0,0,1
S-T151.3,160,1.507,12,1286,T151_S06.M02,0.4419,0.2032,0.5349,0.2364,80,3,1,1,1,1,1,1,0,0,0,0,1,1
S-T151.4,160,0.861,86,1350,T151_S16.M06,0.0526,0.0934,0.0526,0.0934,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-T151.5,147,1.382,60,1307,T151_S10.M10,0.0,0.0082,0.05,0.0962,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-T152.1,169,2.818,139,2034,T152_S25.M04,0.7578,0.7723,0.7857,0.8578,148,154,1,1,1,1,1,1,1,1,1,1,1,1
S-T153.1,178,2.308,1,1968,T153_S02.M01,0.0444,0.0438,0.9111,0.842,112,112,0,1,1,1,1,1,0,1,1,1,1,1
S-T154.1,166,3.83,86,2077,T154_S16.M02,0.0526,0.0723,0.1842,0.3151,0,1,0,0,0,0,0,0,0,0,0,0,0,1
S-T158.1,158,2.763,6,1381,T158_S05.M07,0.0,0.0444,0.7273,0.6799,120,129,0,1,1,1,1,1,0,1,1,1,1,1
S-T159.1,150,2.213,145,1192,T159_S28.M05,0.7395,0.7666,0.7647,0.7666,125,139,1,1,1,1,1,1,1,1,1,1,1,1
S-T159.2,115,4.914,24,763,T159_S09.M01,0.0104,0.0155,0.0833,0.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-T159.3,99,4.285,22,792,T159_S08.M03,0.0,0.0178,0.019,0.0193,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-T159.4,83,1.589,48,483,T159_S18.M10,0.0,0.0226,0.0213,0.0441,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-T159.5,83,1.589,48,483,T159_S18.M10,0.0,0.0166,0.1429,0.0548,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-T159.6,114,1.731,12,757,T159_S08.M08,0.641,0.4338,0.8462,0.6579,103,108,1,1,1,1,1,1,1,1,1,1,1,1
S-T159.7,143,1.774,14,903,T159_S06.M04,0.0,0.0625,0.6875,0.6544,9,88,0,0,0,1,1,1,0,0,1,1,1,1
S-T164.1,169,4.338,35,1674,T164_S07.M05,0.0,0.0171,0.6522,0.5701,145,148,0,0,1,1,1,1,0,0,1,1,1,1
S-T165.1,190,2.833,171,1377,T165_S48.M01,0.0,0.0074,0.0484,0.109,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-T166.1,190,2.567,114,1493,T166_S31.M04,0.0,0.194,0.9074,0.751,95,104,0,0,0,0,0,1,0,0,0,0,0,1
S-T169.1,189,4.131,72,1526,T169_S11.M02,0.0215,0.047,0.0686,0.2539,0,1,0,0,0,0,0,0,0,0,0,0,0,0
S-T176.1,185,3.014,115,1579,T176_S31.M10,0.0556,0.0849,0.6786,0.4841,4,15,0,0,0,0,1,1,0,0,0,0,1,1
S-T180.1,171,2.968,123,1008,T180_S33.M02,0.0388,0.0671,0.4655,0.422,10,10,0,0,0,0,1,1,0,0,0,0,1,1
S-T180.2,172,4.624,35,920,T180_S07.M06,0.3231,0.2941,0.525,0.5016,94,116,1,1,1,1,1,1,1,1,1,1,1,1
