target,n_decoys,n_acceptable_plus,n_medium_plus,n_high,n_positive,spearman,pearson,top20_spearman,auc_pos,auc_any,auc_med,auc_high,auc_dockq,success@1,success_any@1,success_med@1,success_high@1,hitrate@1,success@2,success_any@2,success_med@2,success_high@2,hitrate@2,success@5,success_any@5,success_med@5,success_high@5,hitrate@5,success@10,success_any@10,success_med@10,success_high@10,hitrate@10,success@100,success_any@100,success_med@100,success_high@100,hitrate@100
S-T077.1,120,0,0,0,0,0.15494836043909152,0.16286571052619725,0.49793158842849417,,,,,,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0
S-T078.1,107,0,0,0,41,-0.3775581179095132,-0.1735277535989996,0.26917293233082706,0.3155949741315595,,,,,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,1,False,False,False,0.0
S-T079.1,119,10,4,0,6,0.015491811810627166,0.19146563880313713,0.20902255639097742,0.7935103244837758,0.826605504587156,0.7847826086956521,,0.805050505050505,1,True,True,False,1.0,1,True,True,False,1.0,1,True,True,False,0.6,1,True,True,False,0.5,1,True,True,False,0.09
S-T080.1,120,65,51,0,64,0.06056007653431272,0.050656052921912054,0.24661654135338343,0.46065848214285715,0.4595804195804196,0.5586814435919295,,0.4595804195804196,0,False,False,False,0.0,1,True,True,False,0.5,1,True,True,False,0.4,1,True,True,False,0.4,1,True,True,False,0.54
S-T081.1,108,52,15,0,39,0.2283988548851569,0.24555360354185352,0.27669172932330827,0.6525455221107396,0.7396978021978022,0.48602150537634414,,0.7516339869281046,0,False,False,False,0.0,1,True,False,False,0.5,1,True,False,False,0.8,1,True,False,False,0.7,1,True,True,False,0.49
S-T085.1,120,103,75,0,103,0.10939857524102248,0.1027537842838408,0.024069200649111507,0.5362649914334666,0.5362649914334666,0.5842962962962963,,0.5362649914334666,0,False,False,False,0.0,1,True,True,False,0.5,1,True,True,False,0.8,1,True,True,False,0.9,1,True,True,False,0.87
S-T086.1,120,5,0,0,4,-0.3267520143983719,-0.31114299016600355,-0.19781874283488515,0.21336206896551727,0.17739130434782607,,,0.22953216374269006,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,1,True,False,False,0.04
S-T086.2,120,5,1,0,9,-0.3313532020174833,-0.17595781926200446,-0.1526889916178011,0.3023023023023023,0.26086956521739135,0.1512605042016807,,0.27923976608187134,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,1,True,False,False,0.03
S-T087.1,120,88,69,0,82,0.051516051275849316,0.13216636921784577,-0.447536699569417,0.5154043645699615,0.5049715909090909,0.5376527422563229,,0.4977359804946011,0,False,False,False,0.0,0,False,False,False,0.0,1,True,True,False,0.6,1,True,True,False,0.5,1,True,True,False,0.77
S-T088.1,129,0,0,0,0,-0.07217272940463632,-0.023050903504168305,0.09774436090225563,,,,,,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0
S-T089.1,110,46,14,0,51,-0.40164293000323614,-0.3287493224437857,0.05413533834586466,0.27916251246261214,0.26664402173913043,0.42782738095238093,,0.26466666666666666,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,1,True,True,False,0.45
