target,in_tradock,in_bioscore,tradock_spearman,bioscore_spearman,delta_spearman,tradock_pearson,bioscore_pearson,delta_pearson,tradock_top20_spearman,bioscore_top20_spearman,delta_top20_spearman,tradock_auc_pos,bioscore_auc_pos,delta_auc_pos,tradock_auc_any,bioscore_auc_any,delta_auc_any,tradock_auc_med,bioscore_auc_med,delta_auc_med,tradock_auc_high,bioscore_auc_high,delta_auc_high,tradock_auc_dockq,bioscore_auc_dockq,delta_auc_dockq,tradock_success@1,bioscore_success@1,delta_success@1,tradock_success@2,bioscore_success@2,delta_success@2,tradock_success@5,bioscore_success@5,delta_success@5,tradock_success@10,bioscore_success@10,delta_success@10,tradock_success@100,bioscore_success@100,delta_success@100,tradock_success_any@1,bioscore_success_any@1,delta_success_any@1,tradock_success_any@2,bioscore_success_any@2,delta_success_any@2,tradock_success_any@5,bioscore_success_any@5,delta_success_any@5,tradock_success_any@10,bioscore_success_any@10,delta_success_any@10,tradock_success_any@100,bioscore_success_any@100,delta_success_any@100,tradock_hitrate@1,bioscore_hitrate@1,delta_hitrate@1,tradock_hitrate@2,bioscore_hitrate@2,delta_hitrate@2,tradock_hitrate@5,bioscore_hitrate@5,delta_hitrate@5,tradock_hitrate@10,bioscore_hitrate@10,delta_hitrate@10,tradock_hitrate@100,bioscore_hitrate@100,delta_hitrate@100
S-T068.1,1,1,0.10565621357751467,-0.20899214473443037,0.31464835831194504,0.19177214086251976,-0.08402893970493937,0.2758010805674591,0.08358436104670174,-0.48795194556993443,0.5715363066166361,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S-T068.2,1,1,-0.31984232850806465,0.21459891065024828,-0.5344412391583129,-0.6156574018985156,0.2258095600942593,-0.8414669619927748,-0.5444283282550044,0.25602438673126077,-0.8004527149862652,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S-T069.1,1,1,-0.029778474663632787,0.36279699564132745,-0.3925754703049602,-0.056810867995418506,0.27473093249079,-0.3315418004862085,0.5684210526315789,0.4541353383458646,0.11428571428571432,0.4972041006523766,0.6703168685927307,-0.17311276794035407,0.541219512195122,0.6041463414634146,-0.06292682926829263,0.39352283317800557,0.761183597390494,-0.36766076421248844,0.0,,,0.541219512195122,0.6041463414634146,-0.06292682926829263,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.5,0.5,0.0,0.6,0.8,-0.20000000000000007,0.6,0.9,-0.30000000000000004,0.62,0.65,-0.030000000000000027
S-T070.1,1,1,-0.15916022281371062,0.02168255665519798,-0.1808427794689086,-0.20625381484375271,0.0063601509632957,-0.21261396580704842,0.3813463977843604,0.04212110113594513,0.3392252966484153,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S-T070.2,1,1,0.3044161696751295,0.1775920152314833,0.12682415444364623,0.3428947971272563,0.24606585875245868,0.09682893837479761,0.18796992481203004,-0.048120300751879695,0.23609022556390974,0.7436190476190476,0.6781818181818182,0.0654372294372294,0.7687882056814095,0.6442721791559001,0.12451602652550942,0.7055482743556137,0.7070393374741201,-0.0014910631185063306,0.0,,,0.7687882056814095,0.6442721791559001,0.12451602652550942,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.5,0.5,0.6,0.4,0.19999999999999996,0.6,0.4,0.19999999999999996,0.25,0.27,-0.020000000000000018
S-T071.1,1,1,0.18800259016554477,-0.17183621413652064,0.3598388043020654,0.2065848058825087,-0.09291902829664198,0.29950383417915066,0.4467845370491323,-0.4520496746911254,0.8988342117402577,0.0,,,0.7384615384615384,0.13385826771653542,0.604603270745003,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S-T071.2,1,1,0.053982630707064216,0.5160633225549092,-0.46208069184784495,-0.03239800444901793,0.4308424070131027,-0.46324041146212064,-0.259887466507242,-0.1258005997295925,-0.13408686677764947,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S-T071.3,1,1,-0.012836391416661127,-0.37856415072840693,0.3657277593117458,0.08673179314414078,-0.07513286980192183,0.1618646629460626,0.3413533834586466,0.2646616541353383,0.07669172932330826,0.6460317460317461,0.4864406779661017,0.15959106806564438,0.6679999999999999,0.4344729344729345,0.23352706552706542,0.0,,,0.0,,,0.6679999999999999,0.4344729344729345,0.23352706552706542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0
S-T072.1,1,1,0.2370545059823938,-0.22320718133617704,0.46026168731857087,0.18382933906261378,-0.03948677974434807,0.22331611880696184,0.19999999999999998,0.49624060150375937,-0.2962406015037594,0.6058333333333333,0.55,0.05583333333333329,0.570267131242741,0.619047619047619,-0.04878048780487798,0.0,,,0.0,,,0.6375,0.5483333333333333,0.08916666666666662,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.5,0.0,0.5,0.2,0.0,0.2,0.1,0.0,0.1,0.1,0.09,0.010000000000000009
S-T073.1,1,1,0.24509872146150027,0.23062514977338647,0.014473571688113807,0.04570659282523856,0.15204147459380984,-0.10633488176857128,-0.03535163845338252,-0.365550984858381,0.3301993464049985,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S-T073.2,1,1,0.09606006886023659,0.051309988392696376,0.04475008046754021,-0.07236834189968427,-0.11305184291374794,0.040683501014063664,0.1459195289352385,-0.30462582071531746,0.4505453496505559,0.21305841924398627,0.34814814814814815,-0.13508972890416188,0.0,,,0.0,,,0.0,,,0.21305841924398627,0.34814814814814815,-0.13508972890416188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,1.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.2,0.0,0.1,-0.1,0.03,0.03225806451612903,-0.0022580645161290325
S-T075.1,1,1,0.15637951545815273,0.1215532733572531,0.03482624210089963,0.15416713040943367,0.17564364601000945,-0.021476515600575785,0.10383750117835444,0.6892402252128454,-0.585402724034491,0.6144200626959248,0.5322187391152908,0.08220132358063392,0.5831932773109243,0.5015126050420168,0.08168067226890752,0.6010638297872342,0.5237315875613747,0.07733224222585944,0.0,,,0.5835232823184631,0.5226310647997395,0.060892217518723535,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.5,0.0,0.5,0.6,0.0,0.6,0.4,0.0,0.4,0.32,0.35,-0.02999999999999997
S-T077.1,1,1,-0.021340214148958207,0.15494836043909152,-0.17628857458804972,0.00760241901870951,0.16286571052619725,-0.15526329150748774,-0.2640090446199418,0.49793158842849417,-0.761940633048436,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
