target,n_decoys,n_acceptable_plus,n_medium_plus,n_high,n_positive,spearman,pearson,top20_spearman,auc_pos,auc_any,auc_med,auc_high,auc_dockq,success@1,success_any@1,success_med@1,success_high@1,hitrate@1,success@2,success_any@2,success_med@2,success_high@2,hitrate@2,success@5,success_any@5,success_med@5,success_high@5,hitrate@5,success@10,success_any@10,success_med@10,success_high@10,hitrate@10,success@100,success_any@100,success_med@100,success_high@100,hitrate@100
S-T120.1,150,10,3,0,10,0.23517990940150252,0.13710459673747014,0.4174501987580277,0.6971428571428572,0.6971428571428572,0.7551020408163266,,0.6971428571428572,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,1,True,True,False,0.1
S-T121.1,170,17,1,0,17,0.15259538837840572,0.15332799836471703,0.027850977481945434,0.5309496347558631,0.5309496347558631,0.7928994082840237,,0.548611111111111,1,True,False,False,1.0,1,True,False,False,0.5,1,True,False,False,0.2,1,True,False,False,0.1,1,True,True,False,0.11
S-T122.1,200,25,5,0,25,-0.3494965624607841,-0.281987189801337,0.36028584721638784,0.5076571428571429,0.5076571428571429,0.7784615384615384,,0.2919493441881502,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.3,1,True,True,False,0.55
S-T123.1,190,0,0,0,0,0.1903776246244812,0.10603093232697515,0.03389836519659679,,,,,,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0
S-T124.1,86,0,0,0,0,0.21206702709015718,0.05412164962454736,0.03329618630795035,,,,,,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0
S-T125.1,172,85,78,3,85,0.681540951711677,0.6157941040392263,-0.06466165413533834,0.9092630155510479,0.9092630155510479,0.8964811783960721,0.7080867850098619,0.9092630155510479,1,True,True,False,1.0,1,True,True,False,1.0,1,True,True,False,1.0,1,True,True,True,1.0,1,True,True,True,0.77
S-T125.2,190,175,170,72,175,-0.02580110067460712,0.21782759540179827,-0.28367201408869297,0.7805714285714286,0.7805714285714286,0.7279411764705882,0.45809792843691144,0.7805714285714286,1,True,True,False,1.0,1,True,True,False,1.0,1,True,True,False,1.0,1,True,True,False,1.0,1,True,True,True,0.98
S-T125.3,164,0,0,0,0,0.03033141459816306,0.02327823504626937,-0.6510475611295204,,,,,,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0
S-T125.4,184,0,0,0,0,-0.024357533901589137,0.10386617302817526,-0.07000380826543041,,,,,,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0
S-T131.1,185,6,3,0,6,0.1961473158125326,-0.08569618570382755,-0.6424426782568957,0.20111731843575417,0.20111731843575417,0.29853479853479853,,0.20111731843575417,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,1,True,True,False,0.01
