target,in_tradock,in_bioscore,tradock_spearman,bioscore_spearman,delta_spearman,tradock_pearson,bioscore_pearson,delta_pearson,tradock_top20_spearman,bioscore_top20_spearman,delta_top20_spearman,tradock_auc_pos,bioscore_auc_pos,delta_auc_pos,tradock_auc_any,bioscore_auc_any,delta_auc_any,tradock_auc_med,bioscore_auc_med,delta_auc_med,tradock_auc_high,bioscore_auc_high,delta_auc_high,tradock_auc_dockq,bioscore_auc_dockq,delta_auc_dockq,tradock_success@1,bioscore_success@1,delta_success@1,tradock_success@2,bioscore_success@2,delta_success@2,tradock_success@5,bioscore_success@5,delta_success@5,tradock_success@10,bioscore_success@10,delta_success@10,tradock_success@100,bioscore_success@100,delta_success@100,tradock_success_any@1,bioscore_success_any@1,delta_success_any@1,tradock_success_any@2,bioscore_success_any@2,delta_success_any@2,tradock_success_any@5,bioscore_success_any@5,delta_success_any@5,tradock_success_any@10,bioscore_success_any@10,delta_success_any@10,tradock_success_any@100,bioscore_success_any@100,delta_success_any@100,tradock_hitrate@1,bioscore_hitrate@1,delta_hitrate@1,tradock_hitrate@2,bioscore_hitrate@2,delta_hitrate@2,tradock_hitrate@5,bioscore_hitrate@5,delta_hitrate@5,tradock_hitrate@10,bioscore_hitrate@10,delta_hitrate@10,tradock_hitrate@100,bioscore_hitrate@100,delta_hitrate@100
S-T080.1,1,1,-0.3993180046481246,0.06056007653431272,-0.45987808118243734,,0.050656052921912054,,,0.24661654135338343,,0.1763392857142857,0.46065848214285715,-0.28431919642857145,,0.4595804195804196,,,0.5586814435919295,,,,,,0.4595804195804196,,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,0.0,,,1.0,,,1.0,,,1.0,,,1.0,,,0.0,,,0.5,,,0.4,,,0.4,,,0.54,
S-T081.1,1,1,0.1396410916650218,0.2283988548851569,-0.0887577632201351,,0.24555360354185352,,,0.27669172932330827,,0.568045245669848,0.6525455221107396,-0.08450027644089153,,0.7396978021978022,,,0.48602150537634414,,,,,,0.7516339869281046,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,0.0,,,1.0,,,1.0,,,1.0,,,1.0,,,0.0,,,0.5,,,0.8,,,0.7,,,0.49,
S-T085.1,1,1,-0.26543322417068554,0.10939857524102248,-0.374831799411708,,0.1027537842838408,,,0.024069200649111507,,0.010279840091376358,0.5362649914334666,-0.5259851513420902,,0.5362649914334666,,,0.5842962962962963,,,,,,0.5362649914334666,,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,1.0,-1.0,0.0,1.0,-1.0,1.0,1.0,0.0,,0.0,,,1.0,,,1.0,,,1.0,,,1.0,,,0.0,,,0.5,,,0.8,,,0.9,,,0.87,
S-T086.1,1,1,0.16148686576492255,-0.3267520143983719,0.4882388801632945,,-0.31114299016600355,,,-0.19781874283488515,,0.3663793103448276,0.21336206896551727,0.15301724137931036,,0.17739130434782607,,,,,,,,,0.22953216374269006,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.04,
S-T086.2,1,1,0.5586676619663778,-0.3313532020174833,0.8900208639838612,,-0.17595781926200446,,,-0.1526889916178011,,0.895895895895896,0.3023023023023023,0.5935935935935936,,0.26086956521739135,,,0.1512605042016807,,,,,,0.27923976608187134,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.03,
S-T087.1,1,1,-0.13097983118790255,0.051516051275849316,-0.18249588246375187,,0.13216636921784577,,,-0.447536699569417,,0.47304236200256744,0.5154043645699615,-0.042362002567394086,,0.5049715909090909,,,0.5376527422563229,,,,,,0.4977359804946011,,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,0.0,,,0.0,,,1.0,,,1.0,,,1.0,,,0.0,,,0.0,,,0.6,,,0.5,,,0.77,
S-T088.1,1,1,-0.120410682940012,-0.07217272940463632,-0.04823795353537569,,-0.023050903504168305,,,0.09774436090225563,,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,
S-T089.1,1,1,0.1346444306678713,-0.40164293000323614,0.5362873606711074,,-0.3287493224437857,,,0.05413533834586466,,0.6041874376869393,0.27916251246261214,0.32502492522432713,,0.26664402173913043,,,0.42782738095238093,,,,,,0.26466666666666666,,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.45,
S-T090.1,1,1,-0.21475184793547503,-0.0651809772029595,-0.14957087073251552,,-0.08275857339805086,,,0.6145167790726281,,0.3191137566137566,0.49157681940700804,-0.1724630627932514,,0.48584905660377353,,,0.445945945945946,,,,,,0.48584905660377353,,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,1.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,,0.0,,,1.0,,,1.0,,,1.0,,,1.0,,,0.0,,,0.5,,,0.6,,,0.4,,,0.49,
S-T091.1,1,1,-0.013615194919441412,-0.006681348803756774,-0.0069338461156846385,,0.0034876711429267246,,,-0.07218045112781954,,0.38326446280991733,0.644111570247934,-0.26084710743801665,,0.6194331983805668,,,0.5054347826086957,,,,,,0.6194331983805668,,0.0,1.0,-1.0,0.0,1.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,0.82,
