target,top1_success,top1_model,top1_mdn,top1_fnat,top1_dockq,top1_interface,top1_close,top1_clash,first_good_rank,first_good_model,first_good_mdn,first_good_fnat,first_good_dockq,first_good_interface,first_good_close,first_good_clash,best_fnat_model,best_fnat,best_fnat_dockq,best_fnat_rank,n_success
S-T136.1,True,444,-0.7227687239646912,0.6006,0.6555,42825.0,6729.0,224.0,1,444,-0.7227687239646912,0.6006,0.6555,42825.0,6729.0,224.0,331,0.7226,0.6884,25,117
S-T136.2,True,329,-0.708746075630188,0.4118,0.5442,14122.0,1881.0,40.0,1,329,-0.708746075630188,0.4118,0.5442,14122.0,1881.0,40.0,380,0.549,0.5662,25,57
S-T136.3,False,416,-0.6872624754905701,0.0,0.2657,5876.0,576.0,16.0,3,421,-0.6941714882850647,0.5116,0.4789,14925.0,2041.0,41.0,299,0.5778,0.6028,95,41
S-T138.1,False,1796,-0.6740201711654663,0.0,0.0067,14541.0,1938.0,40.0,0,,,,,,,,1884,0.1132,0.0531,104,0
S-T138.2,False,1807,-0.6664324998855591,0.0,0.0026,8853.0,1365.0,37.0,0,,,,,,,,1851,0.209,0.0842,36,0
S-T140.1,False,1747,-0.6718435883522034,0.0,0.0497,10616.0,1777.0,61.0,8,1839,-0.6957006454467773,0.392,0.4016,24869.0,3576.0,80.0,1827,0.804,0.7175,116,150
S-T141.1,False,1797,-0.6694371104240417,0.0284,0.0359,25105.0,3810.0,92.0,21,1800,-0.6880898475646973,0.3984,0.3611,20520.0,3205.0,108.0,1766,0.4779,0.3875,111,16
S-T142.1,False,1832,-0.6552971005439758,0.0,0.0168,6112.0,894.0,15.0,2,1772,-0.6687233448028564,0.5714,0.5533,7915.0,1183.0,15.0,1746,0.8095,0.7577,11,43
S-T143.1,True,1959,-0.6345142722129822,0.3478,0.4255,7490.0,1112.0,20.0,1,1959,-0.6345142722129822,0.3478,0.4255,7490.0,1112.0,20.0,1832,0.9275,0.5941,64,109
S-T144.1,False,1711,-0.7386650443077087,0.122,0.1863,48048.0,7208.0,156.0,13,1780,-0.7560511827468872,0.5163,0.5009,43095.0,6733.0,205.0,1785,0.565,0.5754,138,119
S-T146.1,True,1911,-1.4637705087661743,0.7419,0.3813,50802.0,10762.0,1194.0,1,1911,-1.4637705087661743,0.7419,0.3813,50802.0,10762.0,1194.0,1801,0.871,0.4043,21,44
S-T146.2,False,1864,-0.43895286321640015,0.0,0.0115,50.0,0.0,0.0,0,,,,,,,,1823,0.2222,0.2157,34,0
S-T146.3,False,1915,-1.427264928817749,0.0,0.0199,48373.0,10511.0,1175.0,16,1859,-1.5196776390075684,0.4,0.3534,49328.0,10720.0,1166.0,1890,0.8222,0.5842,115,6
S-T151.1,True,342,-0.69122314453125,0.925,0.9026,13742.0,2278.0,49.0,1,342,-0.69122314453125,0.925,0.9026,13742.0,2278.0,49.0,402,0.9583,0.9021,7,91
S-T151.2,False,1214,-0.6708548665046692,0.0,0.0074,14762.0,2287.0,67.0,3,1281,-0.727983832359314,0.3889,0.2831,15791.0,2046.0,47.0,1211,0.6905,0.3769,42,4
S-T151.3,False,1403,-0.6300919055938721,0.0,0.0031,4068.0,580.0,11.0,4,1412,-0.6750102639198303,0.4186,0.1647,6744.0,951.0,24.0,1420,0.5349,0.2361,67,80
S-T151.4,False,1332,0.47650086879730225,0.0,0.0074,1.0,0.0,0.0,0,,,,,,,,1315,0.0526,0.0908,33,0
S-T151.5,False,1252,-0.23536378145217896,0.0,0.0169,24.0,0.0,0.0,0,,,,,,,,1305,0.05,0.0421,78,0
S-T152.1,False,1990,-0.6727010011672974,0.0,0.0248,26000.0,3909.0,80.0,2,1918,-0.6733283400535583,0.6708,0.7248,39383.0,6154.0,136.0,1942,0.7857,0.8578,165,148
S-T153.1,True,2106,-0.6218581199645996,0.7556,0.5854,9726.0,1412.0,25.0,1,2106,-0.6218581199645996,0.7556,0.5854,9726.0,1412.0,25.0,2140,0.9111,0.842,125,112
S-T154.1,False,2071,-0.6806784868240356,0.0,0.0212,14376.0,2169.0,37.0,0,,,,,,,,2087,0.1842,0.3151,110,0
S-T158.1,True,1426,-1.7568120956420898,0.5455,0.6116,76597.0,15805.0,1693.0,1,1426,-1.7568120956420898,0.5455,0.6116,76597.0,15805.0,1693.0,1393,0.7273,0.6309,83,120
S-T159.1,False,1072,-0.6502060294151306,0.2525,0.3572,12663.0,1797.0,48.0,3,1169,-0.6632193326950073,0.6975,0.7225,18441.0,2748.0,62.0,1058,0.7647,0.7474,93,125
S-T159.2,False,820,-0.6649289727210999,0.0222,0.0403,12500.0,1830.0,42.0,0,,,,,,,,753,0.0833,0.0531,30,0
S-T159.3,False,811,-0.6606185436248779,0.0,0.0024,5878.0,730.0,12.0,0,,,,,,,,835,0.019,0.0127,9,0
S-T159.4,False,452,-0.6649461984634399,0.0,0.0134,5599.0,770.0,15.0,0,,,,,,,,490,0.0213,0.0412,33,0
S-T159.5,False,464,-0.643714427947998,0.0857,0.0358,6909.0,985.0,30.0,0,,,,,,,,498,0.1429,0.0548,18,0
S-T159.6,False,827,-0.6873432397842407,0.2821,0.3596,6964.0,803.0,20.0,3,763,-0.6914495825767517,0.641,0.4338,9469.0,1346.0,16.0,749,0.8462,0.6579,51,103
S-T159.7,False,1009,-0.6553261280059814,0.1562,0.3741,7947.0,1255.0,40.0,6,1016,-0.6865840554237366,0.4062,0.5229,8016.0,1210.0,25.0,927,0.6875,0.6544,119,9
S-T164.1,True,1644,-0.6716094017028809,0.5739,0.4595,40031.0,6116.0,158.0,1,1644,-0.6716094017028809,0.5739,0.4595,40031.0,6116.0,158.0,1750,0.6522,0.4718,10,145
S-T165.1,False,1385,0.022144092246890068,0.0,0.0018,10.0,0.0,0.0,0,,,,,,,,1333,0.0484,0.0879,92,0
S-T166.1,True,1520,-0.6353752613067627,0.6667,0.5646,7061.0,1099.0,32.0,1,1520,-0.6353752613067627,0.6667,0.5646,7061.0,1099.0,32.0,1511,0.9074,0.6865,53,95
S-T169.1,False,1624,-0.643108069896698,0.0098,0.0811,10216.0,1498.0,29.0,0,,,,,,,,1512,0.0686,0.1601,46,0
S-T176.1,False,1480,-0.6481093168258667,0.0,0.0484,11204.0,1716.0,37.0,32,1646,-0.6817259192466736,0.3571,0.2286,9013.0,1304.0,29.0,1641,0.6786,0.4281,79,4
S-T180.1,False,985,-0.654012143611908,0.0291,0.0772,14608.0,2307.0,94.0,13,1027,-0.6812001466751099,0.4655,0.422,18058.0,2881.0,108.0,1027,0.4655,0.422,13,10
S-T180.2,False,907,-0.6549584865570068,0.0,0.0178,14014.0,1926.0,61.0,2,992,-0.6552221775054932,0.4286,0.2693,5517.0,788.0,19.0,893,0.525,0.3652,58,94
